100 2021-10-07 00:03:14 HASAN Log Denemesi
100 2021-10-07 00:03:40 HASAN Log Denemesi
100 2021-10-07 00:12:09 HASAN Log Denemesi
2021-10-07 16:15:49 {loglevel}: Test amaçlı info HASAN UYANIK
2021-10-07 16:16:58 MASTER: Test amaçlı info HASAN UYANIK
2021-10-07 16:31:48 MASTER: Test amaçlı info HASAN UYANIK
2021-10-07 16:32:16 {0}: Test amaçlı info HASAN UYANIK
2021-10-07 19:49:50 info: Test amaçlı info HASAN UYANIK
2021-10-07 19:54:17 info: Test amaçlı info HASAN UYANIK
2021-10-07 20:35:30 info: Test amaçlı info HASAN UYANIK
2021-10-07 22:48:35 info: Test amaçlı info HASAN UYANIK
2021-10-20 14:39:24 error: Error : ErrorLevel1 | Message : ErrorMessage1 | File : ErrorFile1 | line : ErrorLine1 
2021-10-20 14:40:07 error: Error : ErrorLevel1 | Message : ErrorMessage1 | File : ErrorFile1 | line : ErrorLine1 
2021-10-20 14:45:38 error: Error : ErrorLevel1 | Message : ErrorMessage1 | File : ErrorFile1 | line : ErrorLine1 
2021-10-20 15:17:42 error: Error : ErrorLevel1 | Message : ErrorMessage1 | File : ErrorFile1 | line : ErrorLine1 
2021-10-20 22:59:36 error: Error : 2 | Message : Undefined array key "token" | File : C:\Users\Hasan\Documents\GitHub\news-web-app\backend\app\Controller\AccountDeletionController.php | line : 39 
2021-10-20 22:59:38 error: Error : 2 | Message : Undefined array key "token" | File : C:\Users\Hasan\Documents\GitHub\news-web-app\backend\app\Controller\AccountDeletionController.php | line : 39 
2021-10-20 22:59:44 error: Error : 2 | Message : Undefined array key "token" | File : C:\Users\Hasan\Documents\GitHub\news-web-app\backend\app\Controller\AccountDeletionController.php | line : 39 
2021-10-22 13:51:26 error: Error : 2 | Message : Undefined variable $userRepository | File : C:\Users\Hasan\Documents\GitHub\news-web-app\backend\app\Controller\UserController.php | line : 64 
2021-10-22 13:51:32 error: Error : 2 | Message : Undefined variable $userRepository | File : C:\Users\Hasan\Documents\GitHub\news-web-app\backend\app\Controller\UserController.php | line : 64 
2021-10-22 13:51:39 error: Error : 2 | Message : Undefined variable $userRepository | File : C:\Users\Hasan\Documents\GitHub\news-web-app\backend\app\Controller\UserController.php | line : 64 
2021-10-22 13:51:52 error: Error : 2 | Message : Undefined variable $userRepository | File : C:\Users\Hasan\Documents\GitHub\news-web-app\backend\app\Controller\UserController.php | line : 64 
